ITEM;ESCUELA;MESA;ACOPIO;VERIFICADO;USB;OBSERVADAS
1;IEI 12 INICIAL;040700;1;SI;SI;NO
2;IEI 12 INICIAL;040701;1;SI;SI;NO
3;IEI 12 INICIAL;040702;1;SI;SI;NO
4;IEI 12 INICIAL;40703;1;SI;SI;NO
5;IEI 12 INICIAL;40704;1;SI;SI;NO
6;IE 2005;40705;2;SI;NO;NO
7;IE 2005;40706;2;SI;SI;NO
8;IE 2005;40707;2;SI;SI;NO
9;IE 2005;40708;2;SI;SI;NO
10;IE 2005;40709;2;SI;SI;NO
11;IE 2005;40710;2;SI;SI;NO
12;IE 2005;40711;2;SI;SI;NO
13;IE 2005;40712;2;SI;SI;NO
14;IE 2005;40713;2;SI;SI;NO
15;IE 2005;40714;2;SI;SI;NO
16;IE 2030;40715;3;SI;SI;NO
17;IE 2030;40716;3;SI;SI;NO
18;IE 2030;40717;3;SI;SI;NO
19;IE 2030;40718;3;SI;SI;NO
20;IE 2030;40719;3;SI;SI;NO
21;IE 2030;40720;3;SI;SI;NO
22;IE 2033 NUESTRA SEÑORA DE FATIMA;40721;4;SI;SI;NO
23;IE 2033 NUESTRA SEÑORA DE FATIMA;40722;4;SI;SI;NO
24;IE 2033 NUESTRA SEÑORA DE FATIMA;40723;4;SI;SI;NO
25;IE 2033 NUESTRA SEÑORA DE FATIMA;40724;4;SI;SI;NO
26;IE 2033 NUESTRA SEÑORA DE FATIMA;40725;4;SI;SI;NO
27;IE 2033 NUESTRA SEÑORA DE FATIMA;40726;4;SI;SI;NO
28;IE 2033 NUESTRA SEÑORA DE FATIMA;40727;4;SI;SI;NO
29;IE 2035 FERNANDO BELAUNDE TERRY;40728;5;SI;SI;NO
30;IE 2035 FERNANDO BELAUNDE TERRY;40729;5;SI;SI;NO
31;IE 2035 FERNANDO BELAUNDE TERRY;40730;5;SI;SI;NO
32;IE 2035 FERNANDO BELAUNDE TERRY;40731;5;SI;SI;NO
33;IE 2035 FERNANDO BELAUNDE TERRY;40732;5;SI;SI;NO
34;IE 2042 FRAY MARTIN DE PORRES;40733;6;SI;SI;NO
35;IE 2042 FRAY MARTIN DE PORRES;40734;6;SI;SI;NO
36;IE 2042 FRAY MARTIN DE PORRES;40735;6;SI;SI;NO
37;IE 2042 FRAY MARTIN DE PORRES;40736;6;SI;SI;NO
38;IE 2042 FRAY MARTIN DE PORRES;40737;6;SI;SI;NO
39;IE 2042 FRAY MARTIN DE PORRES;40738;6;SI;SI;NO
40;IE 2042 FRAY MARTIN DE PORRES;40739;6;SI;SI;NO
41;IE 2043 SANGARARA;40740;7;SI;SI;NO
42;IE 2043 SANGARARA;40741;7;SI;SI;NO
43;IE 2043 SANGARARA;40742;7;SI;SI;NO
44;IE 2043 SANGARARA;40743;7;SI;SI;NO
45;IE 2043 SANGARARA;40744;7;SI;SI;NO
46;IE 2043 SANGARARA;40745;7;SI;SI;NO
47;IE 2043 SANGARARA;40746;7;SI;SI;NO
48;IE 2043 SANGARARA;40747;7;SI;SI;NO
49;IE 2047;40748;8;SI;SI;NO
50;IE 2047;40749;8;SI;NO;NO
51;IE 2047;40750;8;SI;SI;NO
52;IE 2047;40751;8;SI;SI;NO
53;IE 2047;40752;8;SI;SI;NO
54;IE 2047;40753;8;SI;SI;NO
55;IE 2047;40754;8;SI;SI;NO
56;IE 2047;40755;8;SI;SI;NO
57;IE 2047;40756;8;SI;SI;NO
58;IE 2072 LEV SEMIONOVICH VIGOTSKI;40757;9;SI;SI;NO
59;IE 2072 LEV SEMIONOVICH VIGOTSKI;40758;9;SI;SI;NO
60;IE 2072 LEV SEMIONOVICH VIGOTSKI;40759;9;SI;SI;NO
61;IE 2072 LEV SEMIONOVICH VIGOTSKI;40760;9;SI;SI;NO
62;IE 2072 LEV SEMIONOVICH VIGOTSKI;40761;9;SI;SI;NO
63;IE 2072 LEV SEMIONOVICH VIGOTSKI;40762;9;SI;SI;NO
64;IE 2072 LEV SEMIONOVICH VIGOTSKI;40763;9;SI;SI;NO
65;IE 3076 SANTA ROSA;40764;10;SI;SI;NO
66;IE 3076 SANTA ROSA;40765;10;SI;SI;NO
67;IE 3076 SANTA ROSA;40766;10;SI;SI;NO
68;IE 3076 SANTA ROSA;40767;10;SI;SI;NO
69;IE 3076 SANTA ROSA;40768;10;SI;SI;NO
70;IE 3076 SANTA ROSA;40769;10;SI;SI;NO
71;IE 3076 SANTA ROSA;40770;10;SI;SI;NO
72;IE 3076 SANTA ROSA;40771;10;SI;SI;NO
73;IE 3076 SANTA ROSA;40772;10;SI;SI;NO
74;IE 3076 SANTA ROSA;40773;10;SI;SI;NO
75;IE 3076 SANTA ROSA;40774;10;SI;SI;NO
76;IE 3076 SANTA ROSA;40775;10;SI;SI;NO
77;IE 3076 SANTA ROSA;40776;10;SI;SI;NO
78;IE 3076 SANTA ROSA;40777;10;SI;SI;NO
79;IE 3076 SANTA ROSA;40778;10;SI;SI;NO
80;IE 3076 SANTA ROSA;40779;10;SI;NO;NO
81;IE 3076 SANTA ROSA;40780;10;SI;SI;NO
82;IE 3076 SANTA ROSA;40781;10;SI;SI;NO
83;IE 3076 SANTA ROSA;40782;10;SI;SI;NO
84;IE 3076 SANTA ROSA;40783;10;SI;SI;NO
85;IE 3076 SANTA ROSA;40784;10;SI;SI;NO
86;IE 3076 SANTA ROSA;40785;10;SI;SI;NO
87;IE 326 MARIA MONTESSORI;40786;11;SI;SI;NO
88;IE 326 MARIA MONTESSORI;40787;11;SI;SI;NO
89;IE 326 MARIA MONTESSORI;40788;11;SI;SI;NO
90;IE 326 MARIA MONTESSORI;40789;11;SI;SI;NO
91;IEI 371;40790;12;SI;SI;NO
92;IEI 371;40791;12;SI;SI;SI
93;IEI 371;40792;12;SI;SI;NO
94;IEI 371;40793;12;SI;SI;NO
95;IE 8156 PERUANO ALEMAN;40794;13;SI;SI;NO
96;IE 8156 PERUANO ALEMAN;40795;13;SI;SI;NO
97;IE 8156 PERUANO ALEMAN;40796;13;SI;SI;NO
98;IE 8156 PERUANO ALEMAN;40797;13;SI;SI;NO
99;IE 8156 PERUANO ALEMAN;40798;13;SI;SI;SI
100;IE 8156 PERUANO ALEMAN;40799;13;SI;SI;NO
101;IE 8186 MARIA JESUS ESPINOZA MATOS;40800;14;SI;SI;NO
102;IE 8186 MARIA JESUS ESPINOZA MATOS;40801;14;SI;SI;NO
103;IE 8186 MARIA JESUS ESPINOZA MATOS;40802;14;SI;SI;NO
104;IE 8186 MARIA JESUS ESPINOZA MATOS;40803;14;SI;SI;NO
105;IE 8186 MARIA JESUS ESPINOZA MATOS;40804;14;SI;SI;NO
106;IE 8186 MARIA JESUS ESPINOZA MATOS;40805;14;SI;SI;NO
107;IE 8186 MARIA JESUS ESPINOZA MATOS;40806;14;SI;SI;NO
108;IE 8186 MARIA JESUS ESPINOZA MATOS;40807;14;SI;SI;NO
109;IEI 861;40808;15;SI;SI;NO
110;IEI 861;40809;15;SI;SI;NO
111;IEI 861;40810;15;SI;SI;NO
112;IEP BAUTISTA FILADELFIA;40815;16;SI;SI;NO
113;IEP BAUTISTA FILADELFIA;40816;16;SI;SI;NO
114;IEP BAUTISTA FILADELFIA;40817;16;SI;SI;NO
115;IEP BAUTISTA FILADELFIA;40818;16;SI;SI;NO
116;IEP BAUTISTA FILADELFIA;40819;16;SI;SI;SI
117;IEP BAUTISTA FILADELFIA;40820;16;SI;SI;NO
118;IEP BAUTISTA FILADELFIA;40821;16;SI;SI;NO
119;IEP BAUTISTA FILADELFIA;40822;16;SI;SI;NO
120;IEP BAUTISTA FILADELFIA;40823;16;SI;SI;NO
121;IEP BAUTISTA FILADELFIA;40824;16;SI;SI;NO
122;IEP BAUTISTA FILADELFIA;40825;16;SI;SI;NO
123;IEP BAUTISTA FILADELFIA;40826;16;SI;SI;NO
124;IEP BAUTISTA FILADELFIA;40827;16;SI;SI;NO
125;IEP BAUTISTA FILADELFIA;40828;16;SI;SI;NO
126;IEP DIVINA MISERICORDIA;40829;17;SI;NO;SI
127;IEP DIVINA MISERICORDIA;40830;17;SI;SI;NO
128;IEP DIVINA MISERICORDIA;40831;17;SI;SI;NO
129;IEP DIVINA MISERICORDIA;40832;17;SI;SI;NO
130;IEP DIVINA MISERICORDIA;40833;17;SI;SI;NO
131;IEP DIVINA MISERICORDIA;40834;17;NO;SI;NO
132;IEP DIVINA MISERICORDIA;40835;17;SI;NO;NO
133;IEP DIVINA MISERICORDIA;40836;17;SI;NO;SI
134;IEP DIVINA MISERICORDIA;40837;17;SI;SI;NO
135;IEP DIVINA MISERICORDIA;40838;17;SI;SI;NO
136;IEP DIVINA MISERICORDIA;40839;17;SI;SI;NO
137;IEP DIVINA MISERICORDIA;40840;17;SI;SI;NO
138;IEP DIVINA MISERICORDIA;40841;17;SI;SI;NO
139;IEP DIVINA MISERICORDIA;40842;17;SI;SI;NO
140;IEP DIVINA MISERICORDIA;40843;17;SI;SI;NO
141;IEP DIVINA MISERICORDIA;40844;17;SI;SI;NO
142;IEP DIVINA MISERICORDIA;40845;17;SI;SI;NO
143;IEP DIVINA MISERICORDIA;40846;17;SI;SI;NO
144;IEP MARCELINO CHAMPAGNAT;40847;18;SI;SI;NO
145;IEP MARCELINO CHAMPAGNAT;40848;18;SI;SI;NO
146;IEP MARCELINO CHAMPAGNAT;40849;18;SI;SI;NO
147;IEP MARCELINO CHAMPAGNAT;40850;18;SI;SI;NO
148;IEP MARCELINO CHAMPAGNAT;40851;18;SI;SI;NO
149;IEP MARCELINO CHAMPAGNAT;40852;18;SI;SI;NO
150;IEP MARIA GORETTI;40853;19;SI;SI;NO
151;IEP MARIA GORETTI;40854;19;SI;SI;NO
152;IEP MARIA GORETTI;40855;19;SI;SI;NO
153;IEP MARIA GORETTI;40856;19;SI;SI;NO
154;IEP MARIA GORETTI;40857;19;SI;SI;NO
155;IEP MARIA GORETTI;40858;19;SI;SI;NO
156;IEP MARIA GORETTI;40859;19;SI;SI;NO
157;IEP MARIA GORETTI;40860;19;SI;SI;NO
158;IEP MARIA GORETTI;40861;19;SI;SI;NO
159;IEP MARIA GORETTI;40862;19;SI;SI;NO
160;IEP MARIA GORETTI;40863;19;SI;SI;NO
161;IEP MARIA GORETTI;40864;19;SI;SI;NO
162;IEP MARIA GORETTI;40865;19;SI;SI;SI
163;IEP MI SEGUNDO HOGAR JIREH;40866;20;SI;SI;NO
164;IEP MI SEGUNDO HOGAR JIREH;40867;20;SI;SI;NO
165;IEP MI SEGUNDO HOGAR JIREH;40868;20;SI;SI;NO
166;IEP MI SEGUNDO HOGAR JIREH;40869;20;SI;SI;NO
167;IEP TECHNOLOGY SCHOOLS - RETABLO;40870;21;SI;SI;NO
168;IEP TECHNOLOGY SCHOOLS - RETABLO;40871;21;SI;SI;NO
169;IEP TECHNOLOGY SCHOOLS - RETABLO;40872;21;SI;SI;NO
170;IEP TECHNOLOGY SCHOOLS - RETABLO;40873;21;SI;SI;NO
171;IEP TECHNOLOGY SCHOOLS - RETABLO;40874;21;SI;NO;NO
172;IEP TECHNOLOGY SCHOOLS - RETABLO;40875;21;SI;NO;NO
173;IEP TECHNOLOGY SCHOOLS - RETABLO;40876;21;SI;SI;NO
174;IEP TECHNOLOGY SCHOOLS - RETABLO;40877;21;SI;SI;NO
175;IEP TECHNOLOGY SCHOOLS - RETABLO;40878;21;SI;SI;NO
176;IEP TECHNOLOGY SCHOOLS - RETABLO;40879;21;SI;SI;NO
177;IEP TECHNOLOGY SCHOOLS - RETABLO;40880;21;SI;SI;NO
178;IEP TECHNOLOGY SCHOOLS - RETABLO;40881;21;SI;SI;NO
179;IEP TECHNOLOGY SCHOOLS - RETABLO;40882;21;SI;SI;SI
180;IEP TECHNOLOGY SCHOOLS - RETABLO;40883;21;SI;SI;NO
181;IEP TECHNOLOGY SCHOOLS - RETABLO;40884;21;SI;SI;NO
182;IEP TECHNOLOGY SCHOOLS - RETABLO;40885;21;SI;SI;NO
183;IEP TECHNOLOGY SCHOOLS - RETABLO;40886;21;SI;SI;SI
184;IEP TECHNOLOGY SCHOOLS - RETABLO;40887;21;SI;SI;NO
185;IEP TECHNOLOGY SCHOOLS - RETABLO;40888;21;SI;SI;NO
186;IEP TECHNOLOGY SCHOOLS - RETABLO;40889;21;SI;SI;NO
187;IEP TECHNOLOGY SCHOOLS - RETABLO;40890;21;SI;SI;NO
188;IEP TECHNOLOGY SCHOOLS - RETABLO;40891;21;SI;SI;NO
189;IEP TECHNOLOGY SCHOOLS - RETABLO;40892;21;SI;SI;NO
190;IEP TECHNOLOGY SCHOOLS - RETABLO;40893;21;SI;SI;NO
